Title,Issue,Date,ID
new avengers- illuminati (2006),1,3/29/2006,18180
amazing spider-man (1963),529,4/1/2006,2127
amazing spider-man (1963),530,5/1/2006,2127
fantastic four (1998),536,5/1/2006,6211
civil war (2006),1,5/3/2006,18023
wolverine (2003),42,5/24/2006,10809
amazing spider-man (1963),531,6/1/2006,2127
civil war- opening shot sketchbook (2006),1,6/1/2006,21978
fantastic four (1998),537,6/1/2006,6211
civil war- front line (2006),1,6/7/2006,18245
civil war (2006),2,6/14/2006,18023
civil war- front line (2006),2,6/28/2006,18245
new avengers (2004),21,6/28/2006,11497
wolverine (2003),43,6/28/2006,10809
amazing spider-man (1963),532,7/1/2006,2127
cable & deadpool (2004),30,7/19/2006,18070
civil war (2006),3,7/19/2006,18023
civil war- x-men (2006),1,7/19/2006,18528
daily bugle (2006),0,7/19/2006,21604
daily bugle civil war newspaper special (2006),1,7/19/2006,33595
she-hulk (2005),8,7/22/2006,18293
civil war- front line (2006),4,7/26/2006,18245
civil war- young avengers & runaways (2006),1,7/26/2006,17991
new avengers (2004),22,7/26/2006,11497
wolverine (2003),44,7/26/2006,10809
amazing spider-man (1963),533,8/1/2006,2127
fantastic four (1998),538,8/1/2006,6211
thunderbolts (2006),103,8/1/2006,18128
x-factor (2006),8,8/1/2006,18109
civil war- front line (2006),5,8/9/2006,18245
civil war (2006),4,8/16/2006,18023
civil war- x-men (2006),2,8/16/2006,18528
heroes for hire (2006),1,8/23/2006,18102
new avengers (2004),23,8/23/2006,11497
wolverine (2003),45,8/23/2006,10809
cable & deadpool (2004),31,8/30/2006,18070
civil war- young avengers & runaways (2006),2,8/30/2006,17991
amazing spider-man (1963),534,9/1/2006,2127
black panther (2005),18,9/1/2006,11502
civil war- front line (2006),3,9/1/2006,18245
fantastic four (1998),539,9/1/2006,6211
sensational spider-man (2006),28,9/1/2006,18177
thunderbolts (2006),104,9/1/2006,18128
x-factor (2006),9,9/1/2006,18109
civil war (2006),5,9/20/2006,18023
civil war- x-men (2006),3,9/20/2006,18528
wolverine (2003),46,9/20/2006,10809
cable & deadpool (2004),32,9/27/2006,18070
civil war- front line (2006),6,9/27/2006,18245
civil war- young avengers & runaways (2006),3,9/27/2006,17991
heroes for hire (2006),2,9/27/2006,18102
friendly neighborhood spider-man (2005),11,10/1/2006,17998
ms. marvel (2006),6,10/1/2006,17990
sensational spider-man (2006),29,10/1/2006,18177
thunderbolts (2006),105,10/1/2006,18128
civil war- front line (2006),7,10/11/2006,18245
civil war- x-men (2006),4,10/18/2006,18528
wolverine (2003),47,10/18/2006,10809
civil war (2006),6,10/25/2006,18023
heroes for hire (2006),3,10/25/2006,18102
new avengers (2004),24,10/25/2006,11497
amazing spider-man (1963),535,11/1/2006,2127
captain america (2004),22,11/1/2006,11499
fantastic four (1998),540,11/1/2006,6211
friendly neighborhood spider-man (2005),12,11/1/2006,17998
ms. marvel (2006),7,11/1/2006,17990
sensational spider-man (2006),30,11/1/2006,18177
civil war- young avengers & runaways (2006),4,11/8/2006,17991
iron man (2004),13,11/15/2006,18220
new avengers (2004),25,11/15/2006,11497
wolverine (2003),48,11/22/2006,10809
civil war- front line (2006),8,11/22/2006,18245
amazing spider-man (1963),536,12/1/2006,2127
captain america (2004),23,12/1/2006,11499
civil war- choosing sides (2006),1,12/1/2006,18273
friendly neighborhood spider-man (2005),13,12/1/2006,17998
ms. marvel (2006),8,12/1/2006,17990
sensational spider-man (2006),31,12/1/2006,18177
civil war- front line (2006),9,12/20/2006,18245
iron man (2004),14,12/20/2006,18220
black panther (2005),22,1/1/2007,11502
captain america (2004),24,1/1/2007,11499
fantastic four (1998),541,1/1/2007,6211
moon knight (2006),7,1/1/2007,18105
punisher war journal (2007),1,1/1/2007,18152
sensational spider-man (2006),32,1/1/2007,18177
civil war- front line (2006),10,1/3/2007,18245
civil war (2006),7,1/17/2007,18023
civil war- the return (2007),1,1/24/2007,18106
winter soldier-  winter kills (2007),1,1/31/2007,18125
amazing spider-man (1963),537,2/1/2007,2127
black panther (2005),23,2/1/2007,11502
iron man-captain america- casualties of war (2007),1,2/1/2007,18542
punisher war journal (2007),2,2/1/2007,18152
sensational spider-man (2006),33,2/1/2007,18177
fantastic four (1998),542,2/2/2007,6211
ghost rider (2006),8,2/14/2007,18138
civil war- front line (2006),11,2/28/2007,18245
amazing spider-man (1963),538,3/1/2007,2127
black panther (2005),24,3/1/2007,11502
blade (2006),5,3/1/2007,18117
punisher war journal (2007),3,3/1/2007,18152
sensational spider-man (2006),34,3/1/2007,18177
civil war- the initiative (2007),1,3/7/2007,18235
civil war- the confession (2007),1,3/14/2007,18258
ghost rider (2006),9,3/14/2007,18138
black panther (2005),25,4/1/2007,11502
captain america (2004),25,4/1/2007,11499
moon knight (2006),8,4/1/2007,18105
ghost rider (2006),10,4/11/2007,18138
moon knight (2006),9,5/1/2007,18105
ghost rider (2006),11,5/9/2007,18138
fantastic four (1998),543,5/11/2007,6211
